region,post_datetime,neighborhood,post_title_text,post_price,post_link,id
manhattan,2020-04-16 18:30:00,Upper East Side,"NO FEE STUDIO in UES! Elevator, Laundry, AC, DW, Near Train & Park! ",2550,https://newyork.craigslist.org/mnh/roo/d/new-york-no-fee-studio-in-ues-elevator/7109352891.html,https://newyork.craigslist.org/mnh/roo/d/new-york-no-fee-studio-in-ues-elevator/7109352891.html_2020_04_16
manhattan,2020-04-16 18:09:00,"Columbus Square / Central Park, New York, NY",The STUDIO modern-styled open kitchen is equipped,1199,https://newyork.craigslist.org/mnh/roo/d/new-york-the-studio-modern-styled-open/7109280028.html,https://newyork.craigslist.org/mnh/roo/d/new-york-the-studio-modern-styled-open/7109280028.html_2020_04_16
manhattan,2020-04-16 17:48:00,East Village,"12'X10' ROOM_KING BED OK_ELEVATOR, LAUNDRY, GYM",1500,https://newyork.craigslist.org/mnh/roo/d/new-york-city-12x10-roomking-bed/7109321546.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-12x10-roomking-bed/7109321546.html_2020_04_16
manhattan,2020-04-16 17:27:00,Gramercy,12'x10' room_Doorman Highrise_Gym Pool Supermarket,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-city-12x10-roomdoorman/7109321315.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-12x10-roomdoorman/7109321315.html_2020_04_16
manhattan,2020-04-16 17:19:00,Murray Hill,.. Room For Rent for May1 inside Doorman High-Rise,1225,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-for-may1-inside/7109317209.html,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-for-may1-inside/7109317209.html_2020_04_16
manhattan,2020-04-16 17:19:00,Upper East Side,..  Large Private Room Lux Blng / Roosevelt Island / 1 MONTH FREE,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-large-private-room-lux-blng/7109317014.html,https://newyork.craigslist.org/mnh/roo/d/new-york-large-private-room-lux-blng/7109317014.html_2020_04_16
manhattan,2020-04-16 17:17:00,Harlem / Morningside,rooms for rent 900-1000,1000,https://newyork.craigslist.org/mnh/roo/d/new-york-rooms-for-rent/7105600848.html,https://newyork.craigslist.org/mnh/roo/d/new-york-rooms-for-rent/7105600848.html_2020_04_16
manhattan,2020-04-16 17:16:00,West Village,Sublet in the West village!,1400,https://newyork.craigslist.org/mnh/roo/d/new-york-sublet-in-the-west-village/7109315480.html,https://newyork.craigslist.org/mnh/roo/d/new-york-sublet-in-the-west-village/7109315480.html_2020_04_16
manhattan,2020-04-16 16:57:00,Upper West Side,Great share in 2-bedroom apartment,1850,https://newyork.craigslist.org/mnh/roo/d/new-york-great-share-in-2-bedroom/7109305147.html,https://newyork.craigslist.org/mnh/roo/d/new-york-great-share-in-2-bedroom/7109305147.html_2020_04_16
manhattan,2020-04-16 16:57:00,Midtown West,Furnished real bedroom in flexed 3 bed 2 bath in luxury building,1200,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-real-bedroom-in/7105804864.html,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-real-bedroom-in/7105804864.html_2020_04_16
manhattan,2020-04-16 16:57:00,Midtown West,Furnished real bedroom in flexed 3 bed 2 bath in luxury building,1200,https://newyork.craigslist.org/mnh/roo/d/new-york-city-furnished-real-bedroom-in/7105806717.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-furnished-real-bedroom-in/7105806717.html_2020_04_16
manhattan,2020-04-16 16:22:00,Upper East Side,1 bedroom in a spacious 4 bdr apt (Everything included),1300,https://newyork.craigslist.org/mnh/roo/d/1-bedroom-in-spacious-4-bdr-apt/7095499815.html,https://newyork.craigslist.org/mnh/roo/d/1-bedroom-in-spacious-4-bdr-apt/7095499815.html_2020_04_16
manhattan,2020-04-16 16:05:00,East Village,"Queen Bedroom Available in 3Bd/2Bath apt, May 1st",1700,https://newyork.craigslist.org/mnh/roo/d/new-york-queen-bedroom-available-in-3bd/7109264630.html,https://newyork.craigslist.org/mnh/roo/d/new-york-queen-bedroom-available-in-3bd/7109264630.html_2020_04_16
manhattan,2020-04-16 15:51:00,East Village,Available immediately to LARGE room in PERFECT New York location,1580,https://newyork.craigslist.org/mnh/roo/d/new-york-city-available-immediately-to/7109267687.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-available-immediately-to/7109267687.html_2020_04_16
manhattan,2020-04-16 15:46:00,Gramercy,"Master Bedrm/Private Bath in 3B/2B apt, Short Term Only!",2350,https://newyork.craigslist.org/mnh/roo/d/new-york-master-bedrm-private-bath-in/7108019615.html,https://newyork.craigslist.org/mnh/roo/d/new-york-master-bedrm-private-bath-in/7108019615.html_2020_04_16
manhattan,2020-04-16 15:39:00,East Village,FURNISHED 1 BR 1.5 BATH EAST VILLAGE OFF BOWERY,1400,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-1-br-15-bath-east/7109223745.html,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-1-br-15-bath-east/7109223745.html_2020_04_16
manhattan,2020-04-16 15:29:00,Harlem / Morningside,You want to be here- Cozy and Fully Furnished,1100,https://newyork.craigslist.org/mnh/roo/d/new-york-you-want-to-be-here-cozy-and/7109254942.html,https://newyork.craigslist.org/mnh/roo/d/new-york-you-want-to-be-here-cozy-and/7109254942.html_2020_04_16
manhattan,2020-04-16 15:28:00,Manhattan/Upper East Side Lexington Subways/Central Park,AWESOME PEACEFUL FURNISHED SPACIOUS MODERN /GARDEN BALCONIES/C.PK,1520,https://newyork.craigslist.org/mnh/roo/d/awesome-peaceful-furnished-spacious/7108225438.html,https://newyork.craigslist.org/mnh/roo/d/awesome-peaceful-furnished-spacious/7108225438.html_2020_04_16
manhattan,2020-04-16 15:23:00,East Village,Move in immediately GREAT room in PERFECT New York location,1580,https://newyork.craigslist.org/mnh/roo/d/new-york-city-move-in-immediately-great/7109251356.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-move-in-immediately-great/7109251356.html_2020_04_16
manhattan,2020-04-16 15:14:00,Lower East Side,1BR (Sunny!) Available in my apartment May 1st 2020,1800,https://newyork.craigslist.org/mnh/roo/d/new-york-1br-sunny-available-in-my/7101200582.html,https://newyork.craigslist.org/mnh/roo/d/new-york-1br-sunny-available-in-my/7101200582.html_2020_04_16
