region,post_datetime,neighborhood,post_title_text,post_price,post_link,id
manhattan,2020-05-07 15:01:00,Washington Heights,"Life Just Got Better, 2 ROOMS available In this beautiful apartment",1300,https://newyork.craigslist.org/mnh/roo/d/new-york-life-just-got-better-2-rooms/7120254531.html,https://newyork.craigslist.org/mnh/roo/d/new-york-life-just-got-better-2-rooms/7120254531.html_2020_05_08
manhattan,2020-05-07 14:59:00,East Village,Room in 2bed/2bath penthouse Monthlies included,1800,https://newyork.craigslist.org/mnh/roo/d/new-york-room-in-2bed-2bath-penthouse/7120278547.html,https://newyork.craigslist.org/mnh/roo/d/new-york-room-in-2bed-2bath-penthouse/7120278547.html_2020_05_08
manhattan,2020-05-07 14:53:00,Harlem,Rooms Available In Harlem-Newly Renovated with Spacious Living.No Fees,1017,https://newyork.craigslist.org/mnh/roo/d/new-york-rooms-available-in-harlem/7120195827.html,https://newyork.craigslist.org/mnh/roo/d/new-york-rooms-available-in-harlem/7120195827.html_2020_05_08
manhattan,2020-05-07 14:48:00,Hamilton Heights,Two Rooms Left Near City College - Great Roommates and NO FEES !,1018,https://newyork.craigslist.org/mnh/roo/d/new-york-two-rooms-left-near-city/7120230581.html,https://newyork.craigslist.org/mnh/roo/d/new-york-two-rooms-left-near-city/7120230581.html_2020_05_08
manhattan,2020-05-07 14:47:00,Financial District,Cozy room for rent - Female only,1108,https://newyork.craigslist.org/mnh/roo/d/new-york-cozy-room-for-rent-female-only/7116858161.html,https://newyork.craigslist.org/mnh/roo/d/new-york-cozy-room-for-rent-female-only/7116858161.html_2020_05_08
manhattan,2020-05-07 14:33:00,Harlem / Morningside,"IN-UNIT washer/dryer, FURNISHED/UNFURNISHED room, near W 125 AC/BD/1",1067,https://newyork.craigslist.org/mnh/roo/d/new-york-in-unit-washer-dryer-furnished/7120243273.html,https://newyork.craigslist.org/mnh/roo/d/new-york-in-unit-washer-dryer-furnished/7120243273.html_2020_05_08
manhattan,2020-05-07 14:25:00,Midtown,BRIGHT FULLY FURNISHED ROOM IN THE HEART OF THE CITY. NO FEE,1245,https://newyork.craigslist.org/mnh/roo/d/new-york-bright-fully-furnished-room-in/7114965706.html,https://newyork.craigslist.org/mnh/roo/d/new-york-bright-fully-furnished-room-in/7114965706.html_2020_05_08
manhattan,2020-05-07 14:25:00,Upper East Side,Private room on upper east,1375,https://newyork.craigslist.org/mnh/roo/d/new-york-private-room-on-upper-east/7120255383.html,https://newyork.craigslist.org/mnh/roo/d/new-york-private-room-on-upper-east/7120255383.html_2020_05_08
manhattan,2020-05-07 14:20:00,Lower East Side,THE BEIGE ROOM in great SHARED LOFT in the LOWER EAST SIDE,1250,https://newyork.craigslist.org/mnh/roo/d/new-york-the-beige-room-in-great-shared/7120243593.html,https://newyork.craigslist.org/mnh/roo/d/new-york-the-beige-room-in-great-shared/7120243593.html_2020_05_08
manhattan,2020-05-07 14:19:00,East Village,NEW ROOMMATE! COME TO THE BEST BLOCK IN THE EAST VILLAGE!,1850,https://newyork.craigslist.org/mnh/roo/d/new-york-new-roommate-come-to-the-best/7120251571.html,https://newyork.craigslist.org/mnh/roo/d/new-york-new-roommate-come-to-the-best/7120251571.html_2020_05_08
manhattan,2020-05-07 14:16:00,Gramercy,Seeking Female Roommate!!! 3BR SUNNY & COZY Apt,1388,https://newyork.craigslist.org/mnh/roo/d/new-york-seeking-female-roommate-3br/7120249539.html,https://newyork.craigslist.org/mnh/roo/d/new-york-seeking-female-roommate-3br/7120249539.html_2020_05_08
manhattan,2020-05-07 14:15:00,Gramercy,** Large Furnished Bedroom Available in Doorman/Luxury Bldg. **,1700,https://newyork.craigslist.org/mnh/roo/d/new-york-city-large-furnished-bedroom/7120248697.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-large-furnished-bedroom/7120248697.html_2020_05_08
manhattan,2020-05-07 13:55:00,Inwood / Wash Hts,Great river view bigroom near subway and CUMC.,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-great-river-view-bigroom-near/7120235337.html,https://newyork.craigslist.org/mnh/roo/d/new-york-great-river-view-bigroom-near/7120235337.html_2020_05_08
